"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"JOSE HUBER ARAUJO NIETO",6437,33.93,"PARTIDO CENTRO DEMOCRÁTICO","LETICIA","Amazonas","60001"
"HUGO ALBERTO PEREZ ARAUJO",4355,22.96,"PARTIDO LIBERAL COLOMBIANO","LETICIA","Amazonas","60001"
"JUAN CARLOS MARTINEZ QUIÑONES",4332,22.84,"PARTIDO ALIANZA VERDE - PARTIDO DE LA U","LETICIA","Amazonas","60001"
"HECTOR FABIO OSORIO RIVILLAS",1640,8.64,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","LETICIA","Amazonas","60001"
"JHICEL BENJUMEA ACOSTA",861,4.53,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","LETICIA","Amazonas","60001"
"LUIS FERNANDO MONTES",425,2.24,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","LETICIA","Amazonas","60001"
"LAUREANO ROA BONILLA",291,1.53,"PARTIDO CONSERVADOR COLOMBIANO","LETICIA","Amazonas","60001"
"JOSE ALBERTO LOZADA PINEDO",1319,43.45,"PARTIDO CENTRO DEMOCRÁTICO","PUERTO NARIÑO","Amazonas","60007"
"EDILBERTO SUAREZ PINTO",962,31.69,"PARTIDO DE LA U - ALIANZA VERDE","PUERTO NARIÑO","Amazonas","60007"
"LIVIA YANETH AHUE CERRON",430,14.16,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PUERTO NARIÑO","Amazonas","60007"
"ESSI ZORAIDA VELOZA MONTEIRO",308,10.14,"PARTIDO LIBERAL COLOMBIANO","PUERTO NARIÑO","Amazonas","60007"
"MARIO DE JESUS GUTIERREZ GUZMAN",3102,37.95,"PARTIDO LIBERAL COLOMBIANO","ABEJORRAL","Antioquia","01004"
"DORA LUZ OSORIO TABARES",1771,21.66,"PARTIDO OPCIÓN CIUDADANA","ABEJORRAL","Antioquia","01004"
"IVAN DE JESUS GARCIA RINCON",1580,19.33,"PARTIDO CONSERVADOR COLOMBIANO","ABEJORRAL","Antioquia","01004"
"OTONIEL MAURICIO ARANGO RAMIREZ",1161,14.2,"PARTIDO DE LA U","ABEJORRAL","Antioquia","01004"
"JAVIER DE JESUS CASTRILLON RUIZ",378,4.62,"PARTIDO CENTRO DEMOCRÁTICO","ABEJORRAL","Antioquia","01004"
"GERMAN DE JESUS RAMIREZ RESTREPO",112,1.37,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","ABEJORRAL","Antioquia","01004"
"JHON FREDY LOPEZ SEPULVEDA",735,55.18,"PARTIDO CONSERVADOR COLOMBIANO","ABRIAQUI","Antioquia","01007"
"RAMON EMIRO HOYOS MORENO",567,42.56,"PARTIDO OPCIÓN CIUDADANA","ABRIAQUI","Antioquia","01007"
"MARIA ESPERANZA GARCIA MARIN",24,1.8,"PARTIDO CAMBIO RADICAL","ABRIAQUI","Antioquia","01007"
"LUIS FERNANDO LOPEZ PEREZ",1921,58.31,"PARTIDO DE LA U","ALEJANDRIA","Antioquia","01010"
"GLORIA CECILIA NARANJO OSORIO",1347,40.89,"PARTIDO CONSERVADOR COLOMBIANO","ALEJANDRIA","Antioquia","01010"
"WILSER DARIO MOLINA MOLINA",3781,31.06,"PARTIDO CENTRO DEMOCRÁTICO","AMAGA","Antioquia","01013"
"LEONARDO DE JESUS MOLINA RODAS",3579,29.4,"PARTIDO LIBERAL COLOMBIANO","AMAGA","Antioquia","01013"
"ALDEMAR ANTONIO PEREZ AVENDAÑO",1718,14.11,"PARTIDO ALIANZA VERDE","AMAGA","Antioquia","01013"
"EDGAR DE JESUS ZAPATA LAVERDE",1679,13.79,"PARTIDO DE LA U","AMAGA","Antioquia","01013"
"DAVID ESTEBAN TABORDA ZAPATA",1033,8.48,"PARTIDO CONSERVADOR COLOMBIANO","AMAGA","Antioquia","01013"
"ROGER EDUARDO FLOREZ GARCIA",89,0.73,"PARTIDO OPCIÓN CIUDADANA","AMAGA","Antioquia","01013"
"ROMAN FERNANDO MONSALVE SANCHEZ",4138,50.15,"PARTIDO CAMBIO RADICAL","AMALFI","Antioquia","01016"
"FEDERICO GIL JARAMILLO",3390,41.08,"PARTIDO CONSERVADOR COLOMBIANO","AMALFI","Antioquia","01016"
"GEORGINA MARIA PALACIO BERRIO",611,7.4,"ALIANZA SOCIAL INDEPENDIENTE - PARTIDO LIBERAL COLOMBIANO","AMALFI","Antioquia","01016"
"JOHN JAIRO MEJIA ARAMBURO",9309,51.24,"PARTIDO DE LA U","ANDES","Antioquia","01019"
"ALVARO DIEGO PAREJA JARAMILLO",8241,45.36,"PARTIDO CONSERVADOR COLOMBIANO","ANDES","Antioquia","01019"
"CARLOS ALFONSO CASTRO BELTRAN",269,1.48,"PARTIDO CENTRO DEMOCRÁTICO","ANDES","Antioquia","01019"
"OLGA LUCIA ZAPATA MARIN",1691,47.05,"COALICIÓN PART. CONSERVADOR - PART. LIBERAL - PART. OPCIÓN CIUDADANA","ANGELOPOLIS","Antioquia","01022"
"CARLOS MARIO FRANCO MUÑOZ",1018,28.32,"PARTIDO CAMBIO RADICAL","ANGELOPOLIS","Antioquia","01022"
"ERIKA LUCIA AGUDELO",605,16.83,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","ANGELOPOLIS","Antioquia","01022"
"JAIME ANDRES PADILLA GOMEZ",236,6.56,"PARTIDO CENTRO DEMOCRÁTICO","ANGELOPOLIS","Antioquia","01022"
"MARTA LUCIA PORRAS ARENAS",1611,34.37,"PARTIDO CONSERVADOR COLOMBIANO","ANGOSTURA","Antioquia","01025"
"GREGORIO DE JESUS GUTIERREZ GONZALEZ",1405,29.97,"PARTIDO LIBERAL COLOMBIANO","ANGOSTURA","Antioquia","01025"
"DANIEL ISAURO CARDENAS RESTREPO",1262,26.92,"PARTIDO CAMBIO RADICAL","ANGOSTURA","Antioquia","01025"
"JOHN JAIRO ZEA HENAO",163,3.47,"PARTIDO ALIANZA VERDE","ANGOSTURA","Antioquia","01025"
"NICOLAS ALBERTO JARAMILLO SANCHEZ",163,3.47,"PARTIDO CENTRO DEMOCRÁTICO","ANGOSTURA","Antioquia","01025"
"NICOLAS GUILLERMO HERON ARANGO",3642,60.8,"PARTIDO LIBERAL COLOMBIANO","ANORI","Antioquia","01028"
"ORLANDO DE JESUS GRANDA",2227,37.17,"PARTIDO ALIANZA VERDE","ANORI","Antioquia","01028"
"JOSE ADONAI HERNANDEZ GUERRA",66,1.1,"PARTIDO CAMBIO RADICAL","ANORI","Antioquia","01028"
"SAULO ARMANDO RIVERA FERNANDEZ",5014,45.7,"PARTIDO LIBERAL COLOMBIANO","ANTIOQUIA","Antioquia","01031"
"ELKIN MARTINEZ MORA",4110,37.46,"PARTIDO DE LA U","ANTIOQUIA","Antioquia","01031"
"ANDRES FELIPE PARDO SERNA",1413,12.87,"PARTIDO CENTRO DEMOCRÁTICO","ANTIOQUIA","Antioquia","01031"
"BAYARDO LEON BENITEZ BENITEZ",101,0.92,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","ANTIOQUIA","Antioquia","01031"
"LUVIN HIDALGO VIDALES",26,0.23,"PARTIDO CAMBIO RADICAL","ANTIOQUIA","Antioquia","01031"
"ALEXANDRA SANCHEZ MARIN",1873,50.32,"PARTIDO CENTRO DEMOCRÁTICO","ANZA","Antioquia","01034"
"ANDRES FELIPE HOLGUIN MUNERA",1830,49.16,"PARTIDO LIBERAL COLOMBIANO","ANZA","Antioquia","01034"
"ELIECER ARTEAGA VARGAS",20137,43.56,"PARTIDO DE LA U","APARTADO","Antioquia","01035"
"FELIPE BENICIO CAÑIZALEZ PALACIOS",16971,36.71,"COALICIÓN POR AMOR A APARTADÓ","APARTADO","Antioquia","01035"
"OSVALDO CUADRADO SIMANCA",3268,7.06,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","APARTADO","Antioquia","01035"
"RENE AUGUSTO PATIÑO VARGAS",1865,4.03,"PARTIDO LIBERAL COLOMBIANO","APARTADO","Antioquia","01035"
"MANUEL DE JESUS RIVAS PALACIO",1282,2.77,"PARTIDO OPCIÓN CIUDADANA","APARTADO","Antioquia","01035"
"ESNEDA DEL SOCORRO LOPEZ VELEZ",502,1.08,"PARTIDO UNIÓN PATRIÓTICA","APARTADO","Antioquia","01035"
"ENRIQUE ALBEIRO FRANCO VALDERRAMA",312,0.67,"PARTIDO CENTRO DEMOCRÁTICO","APARTADO","Antioquia","01035"
"HENRY PALACIOS VALENCIA",215,0.46,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","APARTADO","Antioquia","01035"
"LORENZO II ACUÑA ROMERO",4838,38.55,"PARTIDO CAMBIO RADICAL","ARBOLETES","Antioquia","01037"
"JUAN CARLOS ADAMS VELLOJIN",4192,33.41,"PARTIDO DE LA U","ARBOLETES","Antioquia","01037"
"ALVARO GONZALEZ AVILA",2842,22.65,"PARTIDO LIBERAL COLOMBIANO","ARBOLETES","Antioquia","01037"
"FRANCIA POO MADERA",611,4.86,"PARTIDO CENTRO DEMOCRÁTICO","ARBOLETES","Antioquia","01037"
"JAHIRA MILENA GOMEZ GONZALEZ",12,0.09,"PARTIDO CONSERVADOR COLOMBIANO","ARBOLETES","Antioquia","01037"
"CARLOS ANDRES TORDECILLA MORALES",10,0.07,"PARTIDO UNIÓN PATRIÓTICA","ARBOLETES","Antioquia","01037"
"BAIRO MARTINEZ MORALES",1505,38.92,"PARTIDO ALIANZA VERDE","ARGELIA","Antioquia","01039"
"JOSE LUIS GRANADA PEREZ",1010,26.12,"PARTIDO CENTRO DEMOCRÁTICO","ARGELIA","Antioquia","01039"
"JORGE IVAN CARDONA ZAPATA",808,20.9,"PARTIDO DE LA U","ARGELIA","Antioquia","01039"
"CARLOS MARIO BUITRAGO TORO",474,12.26,"PARTIDO CONSERVADOR COLOMBIANO","ARGELIA","Antioquia","01039"
"MARIA CELMIRA SALAZAR GOMEZ",30,0.77,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","ARGELIA","Antioquia","01039"
"ALVARO HERNAN ALVAREZ SOSSA",21,0.54,"PARTIDO CAMBIO RADICAL","ARGELIA","Antioquia","01039"
"GABRIEL JAIME BARRERA CASTAÑO",1664,67.06,"PARTIDO LIBERAL COLOMBIANO","ARMENIA","Antioquia","01040"
"JOSE IGNACIO CUARTAS QUIROZ",426,17.17,"PARTIDO CONSERVADOR COLOMBIANO","ARMENIA","Antioquia","01040"
"DIDIER HERNANDO RICO BEDOYA",343,13.82,"PARTIDO DE LA U","ARMENIA","Antioquia","01040"
"ABRAHAM DE JESUS GIL MONTOYA",17,0.68,"PARTIDO CENTRO DEMOCRÁTICO","ARMENIA","Antioquia","01040"
"EDISON GARCIA RESTREPO",8475,38.45,"PARTIDO DE LA U","BARBOSA","Antioquia","01043"
"EDGAR AUGUSTO GALLEGO ARIAS",5842,26.5,"ALIANZA BARBOSA CÍVICA","BARBOSA","Antioquia","01043"
"JAIME LEON VANEGAS VELEZ",5032,22.83,"PARTIDO LIBERAL COLOMBIANO","BARBOSA","Antioquia","01043"
"ALVARO RINALDI MARTINEZ",1309,5.93,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","BARBOSA","Antioquia","01043"
"LILIANA MARIA ESTRADA RAMIREZ",735,3.33,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BARBOSA","Antioquia","01043"
"CESAR AUGUSTO SUAREZ MIRA",54237,36.94,"BELLO CIUDAD DE PROGRESO","BELLO","Antioquia","01049"
"OSCAR ANDRES PEREZ MUÑOZ",53139,36.19,"PARTIDO CENTRO DEMOCRÁTICO","BELLO","Antioquia","01049"
"LEON FREDY MUÑOZ LOPERA",14202,9.67,"PARTIDO ALIANZA VERDE","BELLO","Antioquia","01049"
"DIEGO ANDRES CONGOTE MONTOYA",6139,4.18,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","BELLO","Antioquia","01049"
"JUAN MANUEL MUNERA VASQUEZ",1908,1.29,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","BELLO","Antioquia","01049"
"JORGE IGNACIO LONDOÑO LONDOÑO",1681,54.05,"PARTIDO LIBERAL COLOMBIANO","BELMIRA","Antioquia","01046"
"RAFAEL ANGEL VALENCIA VILLA",1397,44.91,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","BELMIRA","Antioquia","01046"
"RONALD ALEJANDRO SANCHEZ SANCHEZ",2989,58.8,"PRIMERO BETANIA","BETANIA","Antioquia","01052"
"CARLOS MARIO VILLADA URIBE",2062,40.56,"PARTIDO LIBERAL COLOMBIANO","BETANIA","Antioquia","01052"
"BENJAMIN ALONSO SUAREZ CASTILLO",3264,46.99,"PARTIDO CONSERVADOR COLOMBIANO","BETULIA","Antioquia","01055"
"RAMON ANTONIO LEMA HURTADO",2692,38.75,"PARTIDO LIBERAL COLOMBIANO","BETULIA","Antioquia","01055"
"RAFAEL ANTONIO CORREA YEPES",918,13.21,"PARTIDO OPCIÓN CIUDADANA","BETULIA","Antioquia","01055"
"ANTONIO DE JESUS CASTAÑO GONZALEZ",3890,37.58,"PARTIDO CENTRO DEMOCRÁTICO","BOLIVAR","Antioquia","01058"
"LUIS EDUARDO ALVAREZ VERA",3117,30.11,"CIUDAD BOLÍVAR EN BUENAS MANOS","BOLIVAR","Antioquia","01058"
"LUIS FERNANDO RESTREPO VELASQUEZ",1437,13.88,"PARTIDO DE LA U","BOLIVAR","Antioquia","01058"
"CARLOS ANDRES GARCES RESTREPO",1049,10.13,"PARTIDO CONSERVADOR COLOMBIANO","BOLIVAR","Antioquia","01058"
"JORGE ELIECER MONTOYA ZAPATA",583,5.63,"PARTIDO ALIANZA VERDE","BOLIVAR","Antioquia","01058"
"JOSE DANILO AGUDELO TORRES",1902,52.2,"PARTIDO LIBERAL COLOMBIANO","BRICEÑO","Antioquia","01062"
"AMADO DE JESUS RUIZ CHAVARRIA",1009,27.69,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","BRICEÑO","Antioquia","01062"
"MIGUEL FERNANDO RUIZ CARVAJAL",524,14.38,"PARTIDO CONSERVADOR COLOMBIANO","BRICEÑO","Antioquia","01062"
"CLAUDIA MOLINA ESPINOSA",187,5.13,"PARTIDO DE LA U","BRICEÑO","Antioquia","01062"
"HUMBERTO ANTONIO CASTAÑO USUGA",2245,51.1,"PARTIDO CONSERVADOR COLOMBIANO","BURITICA","Antioquia","01061"
"LUIS HERNANDO GRACIANO ZAPATA",2020,45.98,"PARTIDO LIBERAL COLOMBIANO","BURITICA","Antioquia","01061"
"DAVID HUMBERTO BERRIO PEREIRA",106,2.41,"PARTIDO ALIANZA VERDE","BURITICA","Antioquia","01061"
"JOSE MERCEDES BERRIO BERRIO",5817,55.3,"PARTIDO DE LA U","CACERES","Antioquia","01064"
"JUAN CARLOS RODRIGUEZ BLANCO",3605,34.27,"PARTIDO LIBERAL COLOMBIANO","CACERES","Antioquia","01064"
"FRANK DAVID MEJIA JIMENEZ",877,8.33,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","CACERES","Antioquia","01064"
"OSCAR DE JESUS JARAMILLO",109,1.03,"PARTIDO CONSERVADOR COLOMBIANO","CACERES","Antioquia","01064"
"ARMANDO GABRIEL SOSA JULIO",26,0.24,"PARTIDO ALIANZA VERDE","CACERES","Antioquia","01064"
"GERMAN DARIO ZAPATA FERRARO",1346,36.63,"PARTIDO CENTRO DEMOCRÁTICO","CAICEDO","Antioquia","01067"
"MIGUEL ALFONSO MARTINEZ GAVIRIA",1230,33.47,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","CAICEDO","Antioquia","01067"
"ALEXANDER DE JESUS AGUDELO",1034,28.14,"PARTIDO LIBERAL COLOMBIANO","CAICEDO","Antioquia","01067"
"CLAUDIA ISABEL GOMEZ CASTRO",41,1.11,"PARTIDO CONSERVADOR COLOMBIANO","CAICEDO","Antioquia","01067"
"CARLOS EDUARDO DURAN FRANCO",8075,23.9,"PARTIDO LIBERAL COLOMBIANO","CALDAS","Antioquia","01070"
"CARLOS MARIO HENAO VELEZ",7617,22.55,"PARTIDO DE LA U","CALDAS","Antioquia","01070"
"JORGE MARIO RENDON VELEZ",6957,20.59,"PARTIDO CAMBIO RADICAL","CALDAS","Antioquia","01070"
"JUAN CARLOS VELEZ ARBOLEDA",4907,14.52,"PARTIDO CONSERVADOR COLOMBIANO","CALDAS","Antioquia","01070"
"JUAN CARLOS SANCHEZ FERNANDEZ",2640,7.81,"PARTIDO CENTRO DEMOCRÁTICO","CALDAS","Antioquia","01070"
"CARLOS MARIO GAVIRIA VELEZ",1602,4.74,"PARTIDO OPCIÓN CIUDADANA","CALDAS","Antioquia","01070"
"JORGE IVAN DURAN LOPERA",1899,54.45,"PARTIDO LIBERAL COLOMBIANO - ALIANZA SOCIAL INDEPENDIENTE","CAMPAMENTO","Antioquia","01073"
"DAIRO DE JESUS ELORZA BUILES",1455,41.72,"PARTIDO CONSERVADOR COLOMBIANO","CAMPAMENTO","Antioquia","01073"
"JUAN CARLOS YEPES TAMAYO",82,2.35,"PARTIDO CAMBIO RADICAL","CAMPAMENTO","Antioquia","01073"
"JUAQUIN EMILIO POSADA GALLEGO",24,0.68,"PARTIDO DE LA U","CAMPAMENTO","Antioquia","01073"
"MARGARITA DEL ROSARIO LOPERA CARDONA",5413,70.24,"PARTIDO CONSERVADOR COLOMBIANO","CAÑASGORDAS","Antioquia","01076"
"CESAR AUGUSTO LONDOÑO GRACIANO",2158,28,"PARTIDO LIBERAL COLOMBIANO","CAÑASGORDAS","Antioquia","01076"
"LUIS EMILIO GIRALDO VELASQUEZ",1394,51.4,"PARTIDO CONSERVADOR COLOMBIANO","CARACOLI","Antioquia","01078"
"ELKIN ANTONIO FERRARO HERNANDEZ",666,24.55,"PARTIDO CENTRO DEMOCRÁTICO","CARACOLI","Antioquia","01078"
"OBDULIO ALFREDO LAVERDE CALDERON",417,15.37,"PARTIDO CAMBIO RADICAL","CARACOLI","Antioquia","01078"
"LUIS FERNANDO JARAMILLO BEDOYA",207,7.63,"PARTIDO ALIANZA VERDE","CARACOLI","Antioquia","01078"
"CARLOS MARIO PATIÑO GARCIA",1957,61.48,"CARAMANTA CON SENTIDO DE PERTENENCIA","CARAMANTA","Antioquia","01079"
"JOSE FERNANDO ARISTIZABAL CADAVID",1199,37.66,"PARTIDO CONSERVADOR COLOMBIANO","CARAMANTA","Antioquia","01079"
"OVIDIO DE JESUS ARDILA RODAS",7034,33.02,"COALICIÓN POLÍTICA Y PROGRAMÁTICA ALIANZA VERDE - MAIS","CAREPA","Antioquia","01080"
"JONNAN ALEXIS CERQUERA",4335,20.35,"PARTIDO LIBERAL COLOMBIANO","CAREPA","Antioquia","01080"
"JAIME ANDRES HERRERA MOLINA",4288,20.12,"PARTIDO DE LA U","CAREPA","Antioquia","01080"
"JORGE ANDRES VARGAS BUENO",2716,12.74,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","CAREPA","Antioquia","01080"
"WILLIAM ORTIZ PALACIO",1633,7.66,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","CAREPA","Antioquia","01080"
"JAINOVER DE JESUS DURANGO OCHOA",404,1.89,"PARTIDO CAMBIO RADICAL","CAREPA","Antioquia","01080"
"SERGIO DE JESUS HIGUITA VARGAS",265,1.24,"PARTIDO CENTRO DEMOCRÁTICO","CAREPA","Antioquia","01080"
"EDITH GUARDIA ROMAÑA",226,1.06,"PARTIDO UNIÓN PATRIÓTICA","CAREPA","Antioquia","01080"
"NESTOR FERNANDO ZULUAGA GIRALDO",7938,37.66,"PARTIDO DE LA U","CARMEN DE VIBORAL","Antioquia","01082"
"JOHN FREDY QUINTERO ZULUAGA",7445,35.32,"PARTIDO LIBERAL COLOMBIANO","CARMEN DE VIBORAL","Antioquia","01082"
"HUGO ALFONSO JIMENEZ CUERVO",3203,15.19,"PARTIDO CAMBIO RADICAL","CARMEN DE VIBORAL","Antioquia","01082"
"VICENTE DE JESUS ARCILA GIRALDO",1349,6.4,"PARTIDO ALIANZA VERDE","CARMEN DE VIBORAL","Antioquia","01082"
"BERNARDO ELIAS GIRALDO HOYOS",479,2.27,"PARTIDO CENTRO DEMOCRÁTICO","CARMEN DE VIBORAL","Antioquia","01082"
"CARLOS AUGUSTO ZULUAGA ZULUAGA",179,0.84,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CARMEN DE VIBORAL","Antioquia","01082"
"ANA ISABEL AVENDAÑO DUQUE",1326,49.55,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","CAROLINA","Antioquia","01085"
"OSCAR HERNAN DUQUE VELEZ",673,25.14,"PARTIDO CAMBIO RADICAL","CAROLINA","Antioquia","01085"
"GLORIA EUGENIA LOPEZ CUARTAS",411,15.35,"COMPROMISO POR CAROLINA","CAROLINA","Antioquia","01085"
"EDWIN DE JESUS RESTREPO ALVAREZ",235,8.78,"PARTIDO CONSERVADOR COLOMBIANO","CAROLINA","Antioquia","01085"
"URIEL DARIO VASCO MORA",9,0.33,"PARTIDO CENTRO DEMOCRÁTICO","CAROLINA","Antioquia","01085"
"OSCAR ANIBAL SUAREZ",20577,55.67,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","CAUCASIA","Antioquia","01088"
"ALBERTO MANUEL ARRIETA HERRERA",9369,25.35,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","CAUCASIA","Antioquia","01088"
"JOSE MARIA CASTAÑO ARISTIZABAL",2357,6.37,"PARTIDO CONSERVADOR COLOMBIANO","CAUCASIA","Antioquia","01088"
"MANUEL SALVADOR CAMARGO BALDOVINO",1651,4.46,"PARTIDO POLO DEMOCRÁTICO ALTERNATIVO","CAUCASIA","Antioquia","01088"
"WILSON SANTANA DIAZ",749,2.02,"PARTIDO UNIÓN PATRIÓTICA","CAUCASIA","Antioquia","01088"
"ANTONIO JOSE PEREZ ARAUJO",706,1.91,"PARTIDO OPCIÓN CIUDADANA","CAUCASIA","Antioquia","01088"
"NERIS INES MONTIEL LOPEZ",154,0.41,"PARTIDO LIBERAL COLOMBIANO","CAUCASIA","Antioquia","01088"
"LEOVIGILDO MANUEL MADERA RODRIGUEZ",144,0.38,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA","CAUCASIA","Antioquia","01088"
"MARTIN EMILIO PINEDA MADRIGAL",138,0.37,"PARTIDO CAMBIO RADICAL","CAUCASIA","Antioquia","01088"
"JOSE DAVID SIERRA PEREZ",138,0.37,"PARTIDO ALIANZA VERDE","CAUCASIA","Antioquia","01088"
"DANIEL SEGUNDO ALVAREZ SOSA",9086,38.52,"UNIDOS SÍ ES POSIBLE, POR UN CHIGORODÓ EDUCADO Y PRÓSPERO","CHIGORODO","Antioquia","01106"
"ESTEBAN GULFO ROMERO",4445,18.84,"PARTIDO LIBERAL COLOMBIANO","CHIGORODO","Antioquia","01106"
"LUIS ORLANDO HIGUITA CORRALES",4351,18.44,"PARTIDO ALIANZA VERDE","CHIGORODO","Antioquia","01106"
"AMADOR CAYCEDO MENA",2980,12.63,"PARTIDO CENTRO DEMOCRÁTICO","CHIGORODO","Antioquia","01106"
"NORMA MARIA CORDOBA MOYA",1636,6.93,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","CHIGORODO","Antioquia","01106"
"ANDRES PEREZ BERRIO",434,1.84,"PARTIDO UNIÓN PATRIÓTICA","CHIGORODO","Antioquia","01106"
"LUIS GUILLERMO ALVAREZ GONZALEZ",2600,40.33,"PARTIDO CAMBIO RADICAL","CISNEROS","Antioquia","01091"
"GUSTAVO ANDRES MONSALVE LONDOÑO",1860,28.85,"PARTIDO LIBERAL COLOMBIANO","CISNEROS","Antioquia","01091"
"CARLOS ANDRES ROJAS TIRADO",1638,25.41,"PARTIDO CONSERVADOR COLOMBIANO","CISNEROS","Antioquia","01091"
"JUAN ESTEBAN CASTAÑEDA LOPEZ",231,3.58,"PARTIDO ALIANZA VERDE","CISNEROS","Antioquia","01091"
"CARLOS ALFREDO TOBON DELGADO",35,0.54,"PARTIDO CENTRO DEMOCRÁTICO","CISNEROS","Antioquia","01091"
"JOHAN ALBERTO RAMIREZ MEJIA",3699,48.76,"PARTIDO CAMBIO RADICAL","COCORNA","Antioquia","01094"
"SAUL ALBERTO GIRALDO GOMEZ",3146,41.47,"PARTIDO CONSERVADOR COLOMBIANO","COCORNA","Antioquia","01094"
"OLIVER ARTURO VILLEGAS GIRALDO",629,8.29,"PARTIDO CENTRO DEMOCRÁTICO","COCORNA","Antioquia","01094"
"HENRY ALBERTO PUERTA FRANCO",1667,61.44,"PARTIDO CENTRO DEMOCRÁTICO","CONCEPCION","Antioquia","01097"
"ARGIRO EVELIO CARVAJAL FRANCO",501,18.46,"PARTIDO CONSERVADOR COLOMBIANO","CONCEPCION","Antioquia","01097"
"CARLOS ALBERTO FRANCO AGUDELO",451,16.62,"PARTIDO LIBERAL COLOMBIANO","CONCEPCION","Antioquia","01097"
"MARIA EUGENIA VILLEGAS VANEGAS",71,2.61,"PARTIDO DE LA U","CONCEPCION","Antioquia","01097"
"DIEGO ALEJANDRO RESTREPO GUERRA",3770,51.68,"PARTIDO CENTRO DEMOCRÁTICO","CONCORDIA","Antioquia","01100"
"ANDRES FERNANDEZ CASTRILLON",3357,46.02,"PARTIDO LIBERAL COLOMBIANO","CONCORDIA","Antioquia","01100"
"OSCAR RESTREPO",18817,59.18,"PARTIDO DE LA U","COPACABANA","Antioquia","01103"
"DIEGO ECHEVERRI HINCAPIE",9721,30.57,"PARTIDO LIBERAL COLOMBIANO","COPACABANA","Antioquia","01103"
"LUIS EDUARDO BONOLIS ZAPATA",604,1.89,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","COPACABANA","Antioquia","01103"
"ANTONIO JOSE LARA VARELAS",3743,43.22,"PARTIDO LIBERAL COLOMBIANO","DABEIBA","Antioquia","01109"
"LEYTON URREGO DURANGO",2321,26.8,"PARTIDO DE LA U","DABEIBA","Antioquia","01109"
"NAIRON DE JESUS DURANGO RODRIGUEZ",1925,22.23,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","DABEIBA","Antioquia","01109"
"OMAR ALBEIRO ANAYA VILLARREAL",595,6.87,"PARTIDO OPCIÓN CIUDADANA","DABEIBA","Antioquia","01109"
"YUDY MARCELA PEÑA CORREA",5622,62.05,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE","DON MATIAS","Antioquia","01112"
"PAULA ANDREA PEMBERTHY RUIZ",3063,33.8,"PARTIDO CONSERVADOR COLOMBIANO","DON MATIAS","Antioquia","01112"
"ANDRES FELIPE OSORIO MACIAS",174,1.92,"PARTIDO CENTRO DEMOCRÁTICO","DON MATIAS","Antioquia","01112"
"JORGE IVAN VASQUEZ ARBOLEDA",2622,41.12,"PARTIDO LIBERAL COLOMBIANO","EBEJICO","Antioquia","01115"
"ERIKSON SANCHEZ RAMIREZ",1497,23.48,"PARTIDO CAMBIO RADICAL","EBEJICO","Antioquia","01115"
"JAIME WITHER SANCHEZ POSADA",1423,22.32,"PARTIDO CONSERVADOR COLOMBIANO","EBEJICO","Antioquia","01115"
"JUAN PABLO ARANGO FRANCO",423,6.63,"PARTIDO OPCIÓN CIUDADANA","EBEJICO","Antioquia","01115"
"MARIO DE JESUS ALVAREZ CELIS",314,4.92,"PARTIDO CENTRO DEMOCRÁTICO","EBEJICO","Antioquia","01115"
"ISMAEL HOLGUIN ARAQUE",22,0.34,"PARTIDO ALIANZA VERDE","EBEJICO","Antioquia","01115"
